,anoReferencia,sigUF,ideCapacidadeInstaladaUF,nomUF,mdaPotenciaInstaladakW,mesReferencia,dthProcessamento,latitude,longitude,Estado
0,2006,AC,1,ACRE,141760.5,12,13/09/2017 00:00:00,9.974722222222223,67.81,Acre
1,2006,AL,29,ALAGOAS,7626936.5,12,13/09/2017 00:00:00,9.665833333333333,35.73527777777778,Alagoas
2,2006,AM,57,AMAZONAS,2105228.6,12,13/09/2017 00:00:00,3.1019444444444444,60.025,Amazonas
3,2006,AP,85,AMAPA,273950.0,12,13/09/2017 00:00:00,0.03888888888888889,51.06638888888889,Amapá
4,2006,BA,113,BAHIA,8899100.9,12,13/09/2017 00:00:00,12.971111111111112,38.51083333333333,Bahia
5,2006,CE,141,CEARA,703170.0,12,13/09/2017 00:00:00,3.7172222222222224,38.543055555555554,Ceará
6,2006,DF,169,DISTRITO FEDERAL,39700.0,12,13/09/2017 00:00:00,15.779722222222222,47.92972222222222,Distrito Federal
7,2006,ES,197,ESPIRITO SANTO,1165516.0,12,13/09/2017 00:00:00,20.319444444444443,40.33777777777778,Espírito Santo
8,2006,GO,225,GOIAS,8605256.4,12,13/09/2017 00:00:00,16.678611111111113,49.25388888888889,Goiás
9,2006,MA,253,MARANHAO,247612.0,12,13/09/2017 00:00:00,2.529722222222222,44.30277777777778,Maranhão
10,2006,MG,281,MINAS GERAIS,18031374.95,12,13/09/2017 00:00:00,19.920833333333334,43.937777777777775,Minas Gerais
11,2006,MS,309,MATO GROSSO DO SUL,7324683.0,12,13/09/2017 00:00:00,20.442777777777778,54.646388888888886,Mato Grosso do Sul
12,2006,MT,337,MATO GROSSO,1917727.2,12,13/09/2017 00:00:00,15.596111111111112,56.09666666666667,Mato Grosso
13,2006,PA,365,PARA,7524644.2,12,13/09/2017 00:00:00,1.4558333333333333,48.504444444444445,Pará
14,2006,PB,393,PARAIBA,50936.0,12,13/09/2017 00:00:00,7.114999999999999,34.863055555555555,Paraíba
15,2006,PE,421,PERNAMBUCO,2382832.7,12,13/09/2017 00:00:00,8.05388888888889,34.88111111111111,Pernambuco
16,2006,PI,448,PIAUI,290010.0,12,13/09/2017 00:00:00,5.089166666666666,42.801944444444445,Piauí
17,2006,PR,476,PARANA,17468332.0,12,13/09/2017 00:00:00,25.42777777777778,49.27305555555555,Paraná
18,2006,RJ,504,RIO DE JANEIRO,7404536.4,12,13/09/2017 00:00:00,22.902777777777775,43.2075,Rio de Janeiro
19,2006,RN,532,RIO GRANDE DO NORTE,88956.0,12,13/09/2017 00:00:00,5.795,35.20944444444445,Rio Grande do Norte
20,2006,RO,560,RONDONIA,888626.08,12,13/09/2017 00:00:00,8.761944444444444,63.903888888888886,Rondônia
21,2006,RR,584,RORAIMA,118030.4,12,13/09/2017 00:00:00,2.819722222222222,60.67333333333333,Roraima
22,2006,RS,612,RIO GRANDE DO SUL,6598474.6,12,13/09/2017 00:00:00,30.033055555555556,51.230000000000004,Rio Grande do Sul
23,2006,SC,640,SANTA CATARINA,5159682.6,12,13/09/2017 00:00:00,27.596666666666664,48.549166666666665,Santa Catarina
24,2006,SE,668,SERGIPE,3174374.4,12,13/09/2017 00:00:00,10.911111111111111,37.07166666666667,Sergipe
25,2006,SP,696,SAO PAULO,21404762.9,12,13/09/2017 00:00:00,23.547500000000003,46.63611111111111,São Paulo
26,2006,TO,724,TOCANTINS,1451910.0,12,13/09/2017 00:00:00,10.212777777777777,48.36027777777778,Tocantins
27,2007,AC,2,ACRE,141349.3,12,13/09/2017 00:00:00,9.974722222222223,67.81,Acre
28,2007,AL,30,ALAGOAS,7656836.5,12,13/09/2017 00:00:00,9.665833333333333,35.73527777777778,Alagoas
29,2007,AM,58,AMAZONAS,1904359.6,12,13/09/2017 00:00:00,3.1019444444444444,60.025,Amazonas
